,t,mean,amp,var,both
818,17.050183241712478,-11515879904560.818,,-11924608206159.236,
819,17.071026986506748,-11557423161230.664,,-11951643929374.14,
820,17.091870731301015,-11582325323902.5,,-11964796431686.717,
821,17.112714476095285,-11597289518996.715,,-11964017876817.67,
822,17.133558220889558,-11595559465202.857,,-11950476972286.566,
823,17.154401965683824,-11580930364621.63,,-11927254621442.97,
824,17.175245710478094,-11573504036918.955,,-11919224768168.648,
825,17.196089455272364,-11595279855266.564,,-11949368158348.697,
826,17.216933200066634,-11642517816872.568,,-12016878057036.137,
827,17.237776944860904,-11703882427468.783,,-12105060858157.855,
828,17.25862068965517,-11765246847886.482,,-12198667372991.31,
829,17.279464434449444,-11829459761843.262,,-12290680149363.355,
830,17.30030817924371,-11898920889168.166,,-12381833057170.047,
831,17.32115192403798,-11972456923619.367,,-12471651587506.822,
832,17.34199566883225,-12059896670316.822,,-12568973702123.225,
833,17.36283941362652,-12145216592389.297,,-12656043316536.158,
834,17.38368315842079,-12227798799897.602,,-12733563308507.748,
835,17.404526903215057,-12289665006281.602,,-12791691933298.895,
836,17.42537064800933,-12333721757066.734,,-12830898231429.871,
837,17.4462143928036,-12370182398295.367,,-12862391386952.22,
838,17.467058137597867,-12404689430906.059,,-12897349441999.334,
839,17.487901882392137,-12451871860390.736,,-12949130240657.37,
840,17.508745627186407,-12487662692950.336,,-12987685654374.316,
841,17.529589371980677,-12513682106751.775,,-13001576822619.557,
842,17.550433116774943,-12522058994130.715,,-12976224847600.615,
843,17.571276861569217,-12524626071037.76,,-12931464225554.727,
844,17.592120606363487,-12530155035413.123,,-12879350932592.137,
845,17.612964351157753,-12529652155920.512,,-12814785815813.326,
846,17.633808095952023,-12522840390033.29,,-12749951311587.584,
847,17.654651840746293,-12502794102488.688,,-12687490989099.807,
848,17.675495585540563,-12462759579386.018,,-12631825150092.355,
849,17.696339330334833,-12405638706877.504,,-12574056819504.81,
850,17.717183075129103,-12338299686319.582,,-12519811023183.504,
851,17.738026819923373,-12268224995616.379,,-12468233163851.344,
852,17.75887056471764,-12196809546504.137,,-12415611960302.207,
853,17.77971430951191,-12129190345474.47,,-12368017702998.344,
854,17.800558054306183,-12071288457420.373,,-12331062295698.123,
855,17.82140179910045,-12024385780505.848,,-12308621662978.795,
856,17.84224554389472,-11984295344924.83,,-12291127608772.996,
857,17.86308928868899,-11948503133571.1,,-12267650718731.543,
858,17.88393303348326,-11914609902061.879,,-12231311702072.363,
859,17.90477677827753,-11878428205144.766,,-12182439076894.873,
860,17.925620523071796,-11837275765287.78,,-12114558738063.049,
861,17.94646426786607,-11789033708758.389,,-12038336076873.14,
862,17.967308012660336,-11732638462307.943,,-11954211431772.678,
863,17.988151757454606,-11659044946405.814,,-11856228296268.717,
864,18.008995502248876,-11574900374993.951,,-11754215606435.396,
865,18.029839247043146,-11488855302309.648,,-11659085413194.182,
866,18.050682991837416,-11419115563485.582,,-11590916337755.977,
867,18.071526736631682,-11377851726573.543,,-11552877356319.969,
868,18.092370481425956,-11375898213044.836,,-11549030894166.4,
869,18.113214226220222,-11390247846323.607,,-11553913489672.115,
870,18.134057971014492,-11409399344036.332,,-11561663706178.82,
871,18.154901715808766,-11410181262929.756,,-11549921549982.33,
872,18.175745460603032,-11381257680834.074,,-11509446015408.771,
873,18.196589205397302,-11326202764891.062,,-11442181172368.346,
874,18.21743295019157,-11270701642647.758,,-11375472358252.525,
875,18.238276694985842,-11231336119955.465,,-11327307309317.514,
