,t,mean,amp,var,both
89,1.8550932866899883,-40.646816973229704,-1274.1318929401618,-11.607376472739901,-1261.0484745890426
90,1.875937031484258,-36.7155390028302,-1259.6069504919446,-12.01589520031185,-1257.169254675923
91,1.8967807762785274,-36.08984010664049,-1246.4401819886405,-15.748310550520875,-1252.3251180918703
92,1.9176245210727971,-39.1356951107338,-1237.3018967681023,-21.826180078391573,-1249.8425447639313
93,1.9384682658670664,-46.36074651579234,-1240.7995850665973,-29.492988120575465,-1256.5862600794098
94,1.959312010661336,-55.545534086275275,-1257.335882787929,-36.52470845604523,-1274.0162955380854
95,1.9801557554556055,-67.4042990150029,-1287.4762982662305,-44.88886239815344,-1304.7151832153936
96,2.000999500249875,-81.08703525432135,-1326.9518383202246,-55.72707285305732,-1346.4323214695555
97,2.0218432450441446,-96.54061742625194,-1370.1410681172158,-70.24046458696375,-1393.3384146366745
98,2.042686989838414,-111.18551328895644,-1413.2930047068382,-86.63695542622,-1439.407649663329
99,2.0635307346326837,-122.31232856553768,-1457.6262427065205,-102.3796409999396,-1486.3152592395807
100,2.084374479426953,-128.63424854496392,-1495.1068529692304,-115.18020207647157,-1524.6657283914565
101,2.1052182242212227,-130.5644706115115,-1521.7302503985468,-124.14331415428472,-1552.8012375083003
102,2.1260619690154923,-129.03564028968944,-1531.047995404583,-128.48669168781902,-1564.1984655710964
103,2.146905713809762,-125.58249072109516,-1524.5280908346926,-129.3570850766508,-1562.204672176136
104,2.1677494586040313,-122.24149472823323,-1511.2495122512219,-129.3998365580566,-1552.890814794229
105,2.188593203398301,-118.65848312458061,-1492.2120290560417,-129.20738334983457,-1539.5829530231351
106,2.2094369481925704,-114.08379779866536,-1478.0662601791605,-128.60278320441805,-1531.6971385828858
107,2.23028069298684,-106.74659281787476,-1473.7754895316675,-125.50436806615558,-1533.3680483856053
108,2.2511244377811095,-95.57845780286613,-1483.2049083014156,-118.47087970007769,-1549.1685863323303
109,2.271968182575379,-81.28182830690862,-1502.642312660871,-107.65680344264273,-1574.3616727635604
110,2.2928119273696486,-67.58138360826419,-1524.156912912979,-96.47404025327143,-1603.1563514355346
111,2.313655672163918,-58.296248101599865,-1545.2757564645956,-89.03045608084147,-1636.2265035320427
112,2.3344994169581876,-55.09691978334683,-1559.421386433803,-87.53066136950127,-1666.104943547199
113,2.355343161752457,-57.16290670472793,-1563.4607054107166,-91.66782419399448,-1687.849267812872
114,2.3761869065467267,-63.14246313718242,-1559.5495512027246,-100.47406060886865,-1704.7757431747364
115,2.3970306513409962,-69.64146770986993,-1555.665327451512,-110.91199883645768,-1722.7647217472163
116,2.417874396135266,-75.00713088568523,-1553.0381563958292,-120.84349695612993,-1738.1278896499814
117,2.4387181409295353,-78.64326786731617,-1556.4114112402274,-128.61103873347065,-1751.2491639201592
118,2.459561885723805,-81.07522961477046,-1566.3795008597137,-133.8216604176047,-1760.6575146034395
119,2.480405630518074,-82.46239226198355,-1588.6369515038823,-135.61893173531848,-1774.6201127597778
120,2.501249375312344,-84.91206246876398,-1619.6673235526869,-135.78021371229357,-1790.5436527259735
121,2.5220931201066135,-86.71242250025335,-1652.9030286807704,-132.75105199211907,-1802.6286485155317
122,2.542936864900883,-85.69123467911349,-1686.8915734886743,-125.23699681131059,-1811.6797597668465
123,2.5637806096951525,-80.23702920666729,-1712.5672854781417,-112.15350564315422,-1809.8393807745988
124,2.584624354489422,-70.65675271123436,-1732.9549910073988,-95.83120680957808,-1806.0519757006768
125,2.6054680992836916,-59.07542031194931,-1752.464978267652,-78.35722482341454,-1807.6953009668784
126,2.626311844077961,-47.67117250592551,-1773.929129749388,-62.23884720166828,-1817.9651211906305
127,2.6471555888722307,-39.66694889051752,-1798.7575823924662,-51.02792135900932,-1838.313594949609
128,2.6679993336665,-35.73567092011801,-1820.074653253988,-45.661774906058525,-1860.9943990231477
129,2.6888430784607698,-35.88914423427775,-1836.223977942988,-46.270285014819144,-1881.8646960365108
130,2.709686823255039,-39.91486732108325,-1848.3866307951178,-52.33310569255991,-1901.2849054527182
131,2.730530568049309,-45.81768709645788,-1855.1072534055284,-61.35016201448189,-1915.398963512438
132,2.7513743128435784,-52.02155068037661,-1859.644304768465,-71.42729045425017,-1925.4829776910099
133,2.772218057637848,-57.57020126922877,-1862.85771576517,-80.86961811999043,-1931.7583485450411
134,2.793061802432117,-61.25946362883791,-1864.7072977798546,-88.37769675929904,-1935.398799561492
135,2.813905547226387,-61.69036947244027,-1859.5131861074997,-91.65875782992262,-1930.1125606046976
136,2.8347492920206565,-57.87714789754825,-1843.1187924016065,-89.15939475981726,-1910.9274283108762
137,2.855593036814926,-50.109037073155235,-1813.4503971110264,-81.05787641075817,-1877.4134699036085
138,2.876436781609195,-41.00688897952755,-1778.0115114816522,-70.25577051296636,-1838.2563412215356
139,2.897280526403465,-31.922449345226,-1744.7051308617959,-58.622995513809364,-1801.8973347804508
140,2.9181242711977347,-23.9418370089195,-1721.0197407227527,-48.26156063471861,-1778.4740671623454
141,2.9389680159920037,-18.121656710400114,-1709.4892880227078,-41.199488701959375,-1772.1683454617898
142,2.9598117607862737,-13.942460309434876,-1701.2675050371797,-36.89605659380085,-1774.886656591635
143,2.9806555055805433,-11.604943678386523,-1695.6009767643966,-35.708110501877485,-1784.4175618554439
144,3.001499250374813,-9.627499053636022,-1693.3562880075067,-35.61218481443979,-1798.4327202018674
145,3.022342995169082,-8.352489982155102,-1699.416713052528,-36.47559499462315,-1819.0439635171265
146,3.043186739963352,-7.992417975857249,-1712.0122603239151,-38.226442423858835,-1840.550936805922
147,3.0640304847576214,-10.259100769601107,-1733.6073697237246,-42.502191355415846,-1865.0158315916804
148,3.084874229551891,-15.483096270807655,-1762.0388647037087,-50.24920577570742,-1888.8809078115128
149,3.10571797434616,-23.36926349070816,-1798.614493241009,-60.73769307831119,-1915.1825909198838
150,3.12656171914043,-31.113763035999675,-1832.0382620642104,-71.14910394524412,-1936.1268867916608
151,3.1474054639346996,-37.158250485983295,-1851.963116285042,-79.61421356034215,-1939.895596936626
152,3.1682492087289686,-41.01279179930293,-1858.0532468097636,-85.3581416186896,-1926.490164474633
153,3.189092953523238,-42.23467549280548,-1849.555163608284,-87.70253743262371,-1896.1931790266506
154,3.209936698317508,-40.103757553895235,-1835.159631249745,-85.5328184912548,-1861.4676097930626
155,3.2307804431117777,-35.36379327426941,-1812.1197542267253,-79.69919484112752,-1822.9179554926982
156,3.251624187906047,-30.83633050655707,-1788.6501034704859,-73.7206973512039,-1789.8938423552663
157,3.2724679327003163,-27.61339090920252,-1763.3135509954075,-69.07182898958142,-1762.2894900568315
158,3.2933116774945863,-25.824836517264007,-1747.6855995067353,-65.44286095194614,-1750.9851509015373
159,3.314155422288856,-25.594626546024397,-1740.0716175935402,-63.144492749071986,-1753.478712081842
160,3.334999167083125,-26.10817186648199,-1740.4750544771584,-62.40869884549383,-1773.5653228787207
161,3.355842911877395,-27.247416083129284,-1747.634765270831,-63.47809584940532,-1806.286883709134
162,3.3766866566716645,-26.385604395924588,-1761.9008267088982,-63.565714035258196,-1845.2940441522455
163,3.3975304014659335,-22.967871745982684,-1778.897910388514,-61.00371728197672,-1882.4681436249239
164,3.418374146260203,-18.56436819355321,-1802.1392279244099,-57.10335313892426,-1919.367902127021
165,3.439217891054473,-14.314337955283477,-1828.6555206607477,-52.56955500924644,-1952.8730657048488
166,3.4600616358487426,-11.233066032537922,-1859.2873679384302,-49.019959201316496,-1986.77083509228
167,3.4809053806430117,-11.209454753436422,-1889.7035695437987,-48.32894562541407,-2017.3461039493873
168,3.5017491254372812,-13.222316296839171,-1920.1651600028429,-48.86991704247918,-2046.9304808330603
169,3.522592870231551,-16.563312289701212,-1949.3066165944408,-50.28870172836604,-2071.462746582524
170,3.5434366150258207,-21.04945531898593,-1975.6873613745,-52.96418707916996,-2087.151228886542
171,3.56428035982009,-26.421021314576844,-1999.8723654346975,-57.645591635522344,-2092.7896429633206
172,3.5851241046143594,-33.17974995738079,-2026.1258428101314,-65.351289460467,-2097.9056933282104
173,3.6059678494086294,-40.21000830985198,-2049.9131114064307,-74.42317448267423,-2103.383932745918
174,3.6268115942028984,-48.019438872672616,-2071.924060292878,-85.74740085205293,-2116.101132800435
175,3.647655338997168,-54.31774757299735,-2091.2643707130446,-96.14997367935068,-2135.6703404436134
176,3.6684990837914375,-58.420207316882724,-2111.4940689463515,-104.25003948193458,-2162.3432355562686
177,3.6893428285857075,-60.73411266882958,-2137.143252562367,-109.43015666622229,-2198.216092496333
178,3.7101865733799766,-62.552181159644945,-2168.016819574159,-112.40779554299642,-2239.693979758552
179,3.731030318174246,-63.402187207298894,-2200.3289792755413,-112.64374102064103,-2280.239580103947
180,3.751874062968516,-64.15774813854684,-2229.410852157209,-111.54758295490616,-2313.4722162146663
181,3.7727178077627856,-63.43170130617573,-2249.0370970013787,-108.72010699716357,-2331.2568378815417
182,3.7935615525570547,-61.34800592546855,-2261.3101920488957,-104.57983062434367,-2338.106358108172
183,3.8144052973513243,-59.19347670745678,-2263.097095279554,-100.6043010266055,-2333.388564103853
184,3.8352490421455943,-59.14035132947841,-2254.4869082794626,-99.08522410895472,-2319.5042975077918
